,atom_seq2,dots-angle,planes-angle,dot_distance1,dot_distance2,dot_distance3
597,CCCO,117.10235079946274,88.2881947164772,1.3641114323983956,2.468764873372921,3.3318463349920595
587,CCCc9,108.76242867524914,161.10507232312895,1.5309474190840135,2.484471774844708,3.8080572474688514
598,CCOH,105.85683833651744,179.56269603485129,1.0077201992616756,1.9045996954740863,3.2987724989759415
588,CCc9c10,129.32749629032287,172.91405715139678,1.3793476719087117,2.6311594402468295,3.8298825047251763
589,Cc9c10C,126.89086102171247,4.492899502039326,1.5351221449774028,2.6079493860119274,3.27276641390736
591,c10CCC,110.85906741849978,173.90388516164808,1.5233515680892475,2.511632934964812,3.9032934811515236
590,c9c10CC,114.23685206105547,177.064686630065,1.5268595220255217,2.5714392856919717,3.893956856463615
546,CCCC,114.48763175732476,166.20261406149777,1.5332644912082207,2.5773823930491986,3.9217470596661386
37,CCCO,118.59362090591802,154.52466618208018,1.359632303234959,2.4797782158894823,3.751919508731497
27,CCCc9,109.51067766385272,178.3348491813734,1.52833242457261,2.500979807995259,3.722163349451499
38,CCOH,107.52246426179006,5.376154536859421,0.9944847912361476,1.9109683409203797,2.4215903865022255
28,CCc9c10,122.72243349953418,168.85458542972304,1.393054198514901,2.564800187149088,3.820222506608744
29,Cc9c10C,125.1375716370762,10.993829074765975,1.522399421965206,2.5883392358807944,3.1051731030652707
31,c10CCC,111.86476401834476,172.95366562782402,1.5267285285865348,2.533396929026323,3.910473117156029
30,c9c10CC,114.61611594851787,168.60973416862035,1.531535177526131,2.570155637310702,3.8884829946908543
183,CCCC,116.39023223432224,57.38464570231202,1.5211508800904647,2.5939352343495394,2.92530340306779
157,CCCO,117.68540150408317,117.8336062414836,1.3587126259809348,2.4736612540928,3.6227199726172614
147,CCCc9,113.2475166357444,159.04651027574772,1.5276125163142613,2.549294019920016,3.8800644324546973
158,CCOH,106.00750063988318,12.880099222910621,0.996042167782066,1.89330399038295,2.391422171010375
148,CCc9c10,122.24641877011143,179.96321615682558,1.393735986476636,2.5589255557753097,3.861657675144177
149,Cc9c10C,124.98702388790768,8.229466500020324,1.5276125163142706,2.5918526192667772,3.0903883251138593
151,c10CCC,112.15057906408913,171.3214987147044,1.5350895739337167,2.540098423289925,3.8978583863449963
150,c9c10CC,112.224959412311,173.6350324816501,1.5261061562027676,2.53499506902874,3.865139066062184
344,CCCC,119.78305350555155,141.96794499583515,1.5282997088267671,2.648660038585545,3.8403255070371283
617,CCCO,115.79674172732089,168.1887156800456,1.357460864997586,2.4527943248466664,3.7704509014174974
607,CCCc9,113.90256462266989,170.64552215760986,1.5308167754502855,2.5604687070925136,3.807584536159378
